"","region","Count","long","lat","group","order","subregion"
"1","Albania",0,20.06396484375,42.5472679138184,6,770,NA
"2","Albania",0,20.103515625,42.524658203125,6,771,NA
"3","Albania",0,20.1857414245605,42.4258766174316,6,772,NA
"4","Albania",0,20.2405261993408,42.3389663696289,6,773,NA
"5","Albania",0,20.3482418060303,42.3087921142578,6,774,NA
"6","Albania",0,20.4083003997803,42.2749519348145,6,775,NA
"7","Albania",0,20.4854507446289,42.223388671875,6,776,NA
"8","Albania",0,20.5228519439697,42.1714820861816,6,777,NA
"9","Albania",0,20.5753898620605,42.0130844116211,6,778,NA
"10","Albania",0,20.5814456939697,41.9174308776855,6,779,NA
"11","Albania",0,20.5662117004395,41.8736801147461,6,780,NA
"12","Albania",0,20.5531253814697,41.8623504638672,6,781,NA
"13","Albania",0,20.5051746368408,41.7064933776855,6,782,NA
"14","Albania",0,20.5166015625,41.6270484924316,6,783,NA
"15","Albania",0,20.5162105560303,41.5747566223145,6,784,NA
"16","Albania",0,20.4755859375,41.5541038513184,6,785,NA
"17","Albania",0,20.4486331939697,41.5212898254395,6,786,NA
"18","Albania",0,20.4923820495605,41.3914070129395,6,787,NA
"19","Albania",0,20.4870128631592,41.3360824584961,6,788,NA
"20","Albania",0,20.4889659881592,41.2726058959961,6,789,NA
"21","Albania",0,20.56787109375,41.1278305053711,6,790,NA
"22","Albania",0,20.6144542694092,41.0830574035645,6,791,NA
"23","Albania",0,20.6560535430908,41.0616683959961,6,792,NA
"24","Albania",0,20.7092761993408,40.9283676147461,6,793,NA
"25","Albania",0,20.7408199310303,40.9052734375,6,794,NA
"26","Albania",0,20.8702144622803,40.9179229736328,6,795,NA
"27","Albania",0,20.9334964752197,40.9031257629395,6,796,NA
"28","Albania",0,20.9585933685303,40.8715362548828,6,797,NA
"29","Albania",0,20.9642581939697,40.8499031066895,6,798,NA
"30","Albania",0,20.9557609558105,40.7752952575684,6,799,NA
"31","Albania",0,20.9878902435303,40.7177734375,6,800,NA
"32","Albania",0,21.0310535430908,40.6586418151855,6,801,NA
"33","Albania",0,21.0308589935303,40.6224594116211,6,802,NA
"34","Albania",0,21.001953125,40.5633811950684,6,803,NA
"35","Albania",0,20.9501953125,40.494384765625,6,804,NA
"36","Albania",0,20.8816394805908,40.4679183959961,6,805,NA
"37","Albania",0,20.8060531616211,40.4454612731934,6,806,NA
"38","Albania",0,20.77001953125,40.3918952941895,6,807,NA
"39","Albania",0,20.7516593933105,40.3349151611328,6,808,NA
"40","Albania",0,20.7178707122803,40.2926750183105,6,809,NA
"41","Albania",0,20.6969718933105,40.2463874816895,6,810,NA
"42","Albania",0,20.6649417877197,40.1517601013184,6,811,NA
"43","Albania",0,20.6574230194092,40.1173820495605,6,812,NA
"44","Albania",0,20.6062507629395,40.0826644897461,6,813,NA
"45","Albania",0,20.5270500183105,40.0685043334961,6,814,NA
"46","Albania",0,20.4560546875,40.0655746459961,6,815,NA
"47","Albania",0,20.4080066680908,40.0494613647461,6,816,NA
"48","Albania",0,20.3836917877197,40.0171852111816,6,817,NA
"49","Albania",0,20.3384761810303,39.9910659790039,6,818,NA
"50","Albania",0,20.3111324310303,39.9794425964355,6,819,NA
"51","Albania",0,20.3113288879395,39.9507789611816,6,820,NA
"52","Albania",0,20.34423828125,39.890625,6,821,NA
"53","Albania",0,20.3816413879395,39.841796875,6,822,NA
"54","Albania",0,20.3824214935303,39.8026390075684,6,823,NA
"55","Albania",0,20.3640613555908,39.791748046875,6,824,NA
"56","Albania",0,20.30615234375,39.7966804504395,6,825,NA
"57","Albania",0,20.2938480377197,39.7822265625,6,826,NA
"58","Albania",0,20.28759765625,39.7385749816895,6,827,NA
"59","Albania",0,20.2720699310303,39.701171875,6,828,NA
"60","Albania",0,20.2482433319092,39.6783676147461,6,829,NA
"61","Albania",0,20.2068367004395,39.6535186767578,6,830,NA
"62","Albania",0,20.1310558319092,39.66162109375,6,831,NA
"63","Albania",0,20.0597648620605,39.6991233825684,6,832,NA
"64","Albania",0,20.0225582122803,39.710693359375,6,833,NA
"65","Albania",0,20.0012702941895,39.7094268798828,6,834,NA
"66","Albania",0,19.99560546875,39.801025390625,6,835,NA
"67","Albania",0,19.96484375,39.8722686767578,6,836,NA
"68","Albania",0,19.8518562316895,40.0435562133789,6,837,NA
"69","Albania",0,19.4845714569092,40.2099609375,6,838,NA
"70","Albania",0,19.3981437683105,40.2848625183105,6,839,NA
"71","Albania",0,19.3601551055908,40.3477058410645,6,840,NA
"72","Albania",0,19.322265625,40.4070816040039,6,841,NA
"73","Albania",0,19.3585929870605,40.4087409973145,6,842,NA
"74","Albania",0,19.39453125,40.3936996459961,6,843,NA
"75","Albania",0,19.4405269622803,40.3756828308105,6,844,NA
"76","Albania",0,19.4591808319092,40.4053688049316,6,845,NA
"77","Albania",0,19.4392585754395,40.4702644348145,6,846,NA
"78","Albania",0,19.3446292877197,40.6220703125,6,847,NA
"79","Albania",0,19.3374996185303,40.663818359375,6,848,NA
"80","Albania",0,19.3838882446289,40.7907218933105,6,849,NA
"81","Albania",0,19.4612312316895,40.9333000183105,6,850,NA
"82","Albania",0,19.4560546875,41.1060562133789,6,851,NA
"83","Albania",0,19.4800777435303,41.2363739013672,6,852,NA
"84","Albania",0,19.4534168243408,41.3209953308105,6,853,NA
"85","Albania",0,19.4406242370605,41.4247550964355,6,854,NA
"86","Albania",0,19.4973621368408,41.5626945495605,6,855,NA
"87","Albania",0,19.5458011627197,41.5968246459961,6,856,NA
"88","Albania",0,19.57568359375,41.6404304504395,6,857,NA
